stack size              (kbytes, -s) unlimited
The operation was successful, time = 0.060544
The operation was successful, time = 0.056576
The operation was successful, time = 0.063008
The operation was successful, time = 0.053376
The operation was successful, time = 0.066592
The operation was successful, time = 0.055744
The operation was successful, time = 0.059456
The operation was successful, time = 0.056864
The operation was successful, time = 0.056800
The operation was successful, time = 0.050752
